Date,Comp845,Comp793,Comp581,Comp135,Comp477,Comp298
2008-07-08,39.449825,25.807459,,43.51141,75.040001,54.486546
2008-07-09,39.153797,24.732456,,42.451427,70.610001,52.654766
2008-07-10,39.294006,24.898399,,42.11282,70.629997,51.713333
2008-07-11,38.208576,23.924393,,41.435585,68.540001,50.961632
2008-07-14,38.031998,22.863819,,41.450298,66.279999,50.771873
2008-07-15,37.356834,22.380423,,41.398792,67.029999,50.771873
2008-07-16,39.034336,25.930117,,41.928795,71.839996,52.968552
2008-07-17,40.124977,29.436525,,42.458782,72.110001,54.099751
2008-07-18,41.002666,28.873775,,42.63546,69.120003,52.713127
2008-07-21,41.96347,27.88534,,42.186428,68.480003,50.837555
2008-07-22,42.742508,29.479816,,43.474613,67.970001,52.54528
2008-07-23,43.464394,30.273451,,42.76059,70.540001,46.290943
2008-07-24,42.451664,28.238869,,41.93615,78.720001,45.962536
2008-07-25,42.664589,28.513027,,41.833103,78.309998,45.072178
2008-07-28,42.275089,27.171072,,41.236835,75.980003,44.043163
2008-07-29,42.752899,29.400467,,42.289482,78.209999,45.086761
2008-07-30,43.635773,29.99206,,43.106552,78.209999,45.977119
2008-07-31,42.851578,29.313881,,43.150723,76.339996,45.743591
2008-08-01,43.106041,29.407675,,42.510311,75.75,45.393288
2008-08-04,42.30624,28.960344,,43.010864,75.709999,45.626816
2008-08-05,43.625389,30.222956,,44.416836,79.110001,47.166691
2008-08-06,43.054115,29.862207,,44.725998,78.089996,48.081196
2008-08-07,42.529568,28.72226,,41.928795,76.949997,48.154354
2008-08-08,42.846375,29.631334,,42.591286,80.510002,49.010349
2008-08-11,42.945045,30.222956,,43.106552,88.089996,49.090839
2008-08-12,42.513988,27.358658,,43.614471,87.25,49.588322
2008-08-13,41.755737,26.629971,,42.777836,86.690002,48.981071
2008-08-14,41.802467,27.279306,,42.940437,88.029999,49.120075
2008-08-15,41.516834,27.466887,,43.879059,86.400002,49.749245
2008-08-18,41.189644,26.507305,,43.479958,83.110001,49.317612
2008-08-19,40.140549,25.670387,,43.014339,81.290001,48.622578
2008-08-20,40.655525,26.69488,,43.132595,82.129997,48.242149
2008-08-21,40.030193,26.160999,,43.236057,83.260002,48.468956
2008-08-22,40.271919,27.178288,,43.930798,85.260002,49.332241
2008-08-25,40.43483,26.067205,,43.273026,82.849998,48.615253
2008-08-26,40.497871,26.413519,,43.605602,81.760002,48.666485
2008-08-27,40.81316,26.795898,,43.819954,81.730003,48.805492
2008-08-28,41.343884,28.051277,,44.256004,83.419998,49.610268
2008-08-29,41.359646,27.769911,,43.657326,80.809998,49.061554
2008-09-02,41.238789,28.130644,,44.086018,81.410004,49.939461
2008-09-03,41.286076,28.650122,,44.189487,80.769997,49.990692
2008-09-04,39.930367,27.351444,,44.182087,78.029999,49.281052
2008-09-05,39.88308,28.570753,,44.891602,79.190002,50.071156
2008-09-08,41.569832,29.977644,,45.822845,81.160004,50.429649
2008-09-09,41.128426,28.476954,,45.179848,79.040001,50.210167
2008-09-10,41.611877,28.426447,,45.83762,76.739998,50.795456
2008-09-11,41.207256,30.049797,,46.687557,79.510002,51.483181
2008-09-12,41.42271,29.703472,,46.125862,78.300003,50.883247
2008-09-15,39.841049,26.69488,,45.549377,77.339996,50.444271
2008-09-16,40.172089,29.393238,,45.926315,78.730003,50.393063
2008-09-17,38.290916,25.807459,,44.078629,71.540001,47.825146
2008-09-18,41.785263,29.0758,,45.438526,76.5,49.917542
2008-09-19,42.957073,33.945808,,44.122963,81,48.351887
2008-09-22,41.764263,29.436525,,43.5243,74.93,47.056953
2008-09-23,41.864082,29.263376,,43.162151,71.760002,46.939907
2008-09-24,41.9324,29.220078,,43.546482,69.959999,47.40081
2008-09-25,42.872986,31.355684,,44.433372,72.080002,48.271431
2008-09-26,42.825691,34.804371,,44.869431,70.699997,48.498238
2008-09-29,40.881474,29.580826,,43.199116,63.349998,46.237541
2008-09-30,42.473621,33.693287,,44.263386,72.760002,47.503235
2008-10-01,43.36692,35.807213,,44.093391,69.580002,47.327648
2008-10-02,42.048004,36.243462,,43.494728,67.360001,45.301094
